year,state,geography_standardized,party,total_voters,percent
2016,arizona,Apache,Democratic,27638,57.292703150912104
2016,arizona,Apache,Other/Unaffiliated,12361,25.62396351575456
2016,arizona,Apache,Republican,8241,17.083333333333332
2016,arizona,Cochise,Democratic,20121,26.77195736924039
2016,arizona,Cochise,Other/Unaffiliated,26740,35.57885493034581
2016,arizona,Cochise,Republican,28296,37.6491877004138
2016,arizona,Coconino,Democratic,32404,39.77854433409853
2016,arizona,Coconino,Other/Unaffiliated,28567,35.068314899154196
2016,arizona,Coconino,Republican,20490,25.153140766747278
2016,arizona,Gila,Democratic,9083,30.721098559155784
2016,arizona,Gila,Other/Unaffiliated,8233,27.84617466008253
2016,arizona,Gila,Republican,12250,41.43272678076168
2016,arizona,Graham,Democratic,5449,30.602044254745593
2016,arizona,Graham,Other/Unaffiliated,4396,24.688307312141973
2016,arizona,Graham,Republican,7961,44.709648433112434
2016,arizona,Greenlee,Democratic,2038,43.3432581880051
2016,arizona,Greenlee,Other/Unaffiliated,1336,28.413441088898338
2016,arizona,Greenlee,Republican,1328,28.243300723096553
2016,arizona,La Paz,Democratic,2138,24.065736154885187
2016,arizona,La Paz,Other/Unaffiliated,3326,37.43809095002251
2016,arizona,La Paz,Republican,3420,38.4961728950923
2016,arizona,Maricopa,Democratic,617685,28.573827459296226
2016,arizona,Maricopa,Other/Unaffiliated,776547,35.9227114014977
2016,arizona,Maricopa,Republican,767484,35.503461139206074
2016,arizona,Mohave,Democratic,20557,17.82311273723545
2016,arizona,Mohave,Other/Unaffiliated,44392,38.48828236762933
2016,arizona,Mohave,Republican,50390,43.68860489513521
2016,arizona,Navajo,Democratic,25196,39.40384404860579
2016,arizona,Navajo,Other/Unaffiliated,17958,28.08438765775769
2016,arizona,Navajo,Republican,20789,32.51176829363652
2016,arizona,Pima,Democratic,206856,38.00613666011355
2016,arizona,Pima,Other/Unaffiliated,173932,31.956933139801937
2016,arizona,Pima,Republican,163482,30.036930200084516
2016,arizona,Pinal,Democratic,51049,26.94418933612017
2016,arizona,Pinal,Other/Unaffiliated,72960,38.50904139088577
2016,arizona,Pinal,Republican,65453,34.546769272994055
2016,arizona,Santa Cruz,Democratic,13352,50.81443142030751
2016,arizona,Santa Cruz,Other/Unaffiliated,8718,33.17856599177957
2016,arizona,Santa Cruz,Republican,4206,16.007002587912925
2016,arizona,Yavapai,Democratic,28624,20.834121842928887
2016,arizona,Yavapai,Other/Unaffiliated,46859,34.10655797365165
2016,arizona,Yavapai,Republican,61907,45.05932018341946
2016,arizona,Yuma,Democratic,29133,34.57758682080376
2016,arizona,Yuma,Other/Unaffiliated,31204,37.0356303558288
2016,arizona,Yuma,Republican,23917,28.386782823367433
2016,california,Alameda,Democratic,510429,57.43779426194827
2016,california,Alameda,Other/Unaffiliated,270753,30.467420757451634
2016,california,Alameda,Republican,107482,12.09478498060009
